id,y__abs_energy,"y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",y__ar_coefficient__coeff_3__k_10,y__count_above_mean,"y__fft_aggregated__aggtype_""centroid""",y__index_mass_quantile__q_0.1,y__number_peaks__n_1,y__ratio_beyond_r_sigma__r_1.5
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---4,0.0002185019615852,-0.1240551796650947,0.0815025631968505,531.0,430.3657715974742,0.09,948.0,0.124
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---5,0.0002231416308676,-0.2057027314634416,0.0848407210261403,544.0,422.33032004283285,0.0896666666666666,943.0,0.1256666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---6,0.0002250558948555,-0.0164208118372925,0.0886642714339251,523.0,494.7738942290633,0.093,936.0,0.0333333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---7,0.0002282185720348,-0.1580178891378392,0.0670403487498631,513.0,388.6757608997182,0.0916666666666666,947.0,0.107
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---8,0.0002282185720348,-0.1580178891378392,0.0670403487498631,513.0,388.6757608997182,0.0916666666666666,947.0,0.107
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=case3&numberOfSignificantValueDigits=3---9,0.0002201428957878,-0.1034364674492533,0.0693426217658017,620.0,400.3254556629743,0.0916666666666666,925.0,0.152
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---0,0.0002014828138232,-0.034417840347665,0.0001143491292894,655.0,734.5122255161701,0.0983333333333333,943.0,0.0023333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---1,0.0001343497960057,-0.0636782192735116,-0.0011297768762253,173.0,725.8850363916125,0.1023333333333333,945.0,0.005
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---2,0.0002014828138232,-0.034417840347665,0.0001143491292894,655.0,734.5122255161701,0.0983333333333333,943.0,0.0023333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---3,6.511727293259296e-05,-0.1297927731886704,0.0066994107096659,1166.0,698.9465815859796,0.089,950.0,0.0076666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---4,6.101358361041432e-05,-0.0779768053960495,0.0021078799276441,671.0,694.9790713830271,0.094,937.0,0.0086666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---5,6.511727293259296e-05,-0.1297927731886704,0.0066994107096659,1166.0,698.9465815859796,0.089,950.0,0.0076666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---6,6.511727293259296e-05,-0.1297927731886704,0.0066994107096659,1166.0,698.9465815859796,0.089,950.0,0.0076666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---8,6.101358361041432e-05,-0.0779768053960495,0.0021078799276441,671.0,694.9790713830271,0.094,937.0,0.0086666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=cubic&numberOfSignificantValueDigits=2---9,0.0001343497960057,-0.0636782192735116,-0.0011297768762253,173.0,725.8850363916125,0.1023333333333333,945.0,0.005
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---0,1.1581809542609771e-05,0.0037923428184993,-0.0065081097038678,41.0,744.5606133315839,0.095,910.0,0.0106666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.roundtripCompressed#latencySeriesName=sparsed1&numberOfSignificantValueDigits=2---1,1.1581809542609771e-05,0.0037923428184993,-0.0065081097038678,41.0,744.5606133315839,0.095,910.0,0.0106666666666666
