id,y__abs_energy,y__absolute_maximum,y__absolute_sum_of_changes,y__ar_coefficient__coeff_8__k_10,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)"
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---25,1162.849229267993,0.768806,0.807395000000002,0.0361761729310207,-0.0001662161709431
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---26,1172.6935047728912,0.76691,0.6594820000000007,-0.0073051359559563,0.0006536439356226
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---6,1172.947722666066,0.771927,0.8809699999999991,0.0453594555308794,0.0008195541697393
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---3,1193.512736094122,0.773209,0.3358760000000045,-0.0052345396720152,3.961087424651902e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---5,1152.882002363643,0.81927,1.8385570000000009,0.0499174684336479,0.0002993292967635
warmup_results_0_8_linux2_i7_4790___C-default-c.json#richards---8,1176.049948238012,0.834866,0.9788090000000006,0.1458136227467211,-9.738092753768444e-05
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---0,609.6261080777019,0.559831,0.2609760000000034,0.1438344691941351,0.0044192505421743
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---14,609.6261080777019,0.559831,0.2609760000000034,0.1438344691941351,0.0044192505421743
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---1,555.7137353245381,0.528473,0.0643219999999956,0.1468205012193664,0.0003925445677076
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---11,555.7137353245381,0.528473,0.0643219999999956,0.1468205012193664,0.0003925445677076
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---29,555.7137353245381,0.528473,0.0643219999999956,0.1468205012193664,0.0003925445677076
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---10,551.8484904579611,0.550419,0.0893800000000002,0.2960884340192971,0.0142725008518434
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---12,591.189839954531,0.544692,0.208972000000003,0.048352916580395,-0.008792110891211
warmup_results_0_8_linux2_i7_4790___C-default-c.json#spectralnorm---13,580.9206049031097,0.541982,0.0642169999999979,0.1588206203490934,0.0018806904407052
