id,"y__fft_coefficient__attr_""real""__coeff_48",y__value_count__value_1,"y__fft_coefficient__attr_""imag""__coeff_67",y__count_below__t_0,"y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","y__fft_coefficient__attr_""real""__coeff_23","y__fft_coefficient__attr_""imag""__coeff_37","y__fft_coefficient__attr_""angle""__coeff_3","y__fft_coefficient__attr_""real""__coeff_28",y__number_crossing_m__m_0,y__symmetry_looking__r_0.7000000000000001,"y__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","y__fft_coefficient__attr_""imag""__coeff_88","y__fft_coefficient__attr_""angle""__coeff_16","y__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_86","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","y__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","y__fft_coefficient__attr_""angle""__coeff_92","y__fft_coefficient__attr_""real""__coeff_25","y__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_65","y__fft_coefficient__attr_""abs""__coeff_87","y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""min""","y__fft_coefficient__attr_""real""__coeff_24","y__augmented_dickey_fuller__attr_""usedlag""__autolag_""AIC""","y__fft_coefficient__attr_""angle""__coeff_25",y__has_duplicate_min,y__energy_ratio_by_chunks__num_segments_10__segment_focus_5,y__symmetry_looking__r_0.1
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---12,0.5252143206175234,0.0,-0.1674075235971979,0.0,0.0008457398699349,0.6760750178858125,-0.2439508139083883,5.109132190689081,0.6530032503677449,0.0,1.0,4.700067622584541e-06,-0.2005313632076215,-16.12131062837513,6.312925518103886e-08,0.5432508974204139,0.0001543567779402,0.0062778358208955,-23.52668139973977,0.66646372780483,0.3387829758835823,-0.161278750077273,0.5467512145906868,0.6048737581080648,0.6764518690876979,25.0,-18.75478722776569,0.0,0.0994848873790059,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---15,0.5252143206175234,0.0,-0.1674075235971979,0.0,0.0008457398699349,0.6760750178858125,-0.2439508139083883,5.109132190689081,0.6530032503677449,0.0,1.0,4.700067622584541e-06,-0.2005313632076215,-16.12131062837513,6.312925518103886e-08,0.5432508974204139,0.0001543567779402,0.0062778358208955,-23.52668139973977,0.66646372780483,0.3387829758835823,-0.161278750077273,0.5467512145906868,0.6048737581080648,0.6764518690876979,25.0,-18.75478722776569,0.0,0.0994848873790059,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---21,0.5252143206175234,0.0,-0.1674075235971979,0.0,0.0008457398699349,0.6760750178858125,-0.2439508139083883,5.109132190689081,0.6530032503677449,0.0,1.0,4.700067622584541e-06,-0.2005313632076215,-16.12131062837513,6.312925518103886e-08,0.5432508974204139,0.0001543567779402,0.0062778358208955,-23.52668139973977,0.66646372780483,0.3387829758835823,-0.161278750077273,0.5467512145906868,0.6048737581080648,0.6764518690876979,25.0,-18.75478722776569,0.0,0.0994848873790059,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---11,0.5304118981565722,0.0,-0.1612508996934476,0.0,0.0008697688844422,0.7089682886443586,-0.21779894545736,5.568820381453993,0.6411383934818699,0.0,1.0,4.727123755960401e-06,-0.2161772793291145,-15.677013303693393,7.75059754937495e-08,0.5705965425584738,0.0001555229939238,0.0068347183098591,-23.347347373639074,0.6826972276612218,0.3428718437182523,-0.1583192266558518,0.5657720437992612,0.6121061740175621,0.6945966701765858,26.0,-19.83379465352388,0.0,0.099471079468948,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---6,0.5304118981565722,0.0,-0.1612508996934476,0.0,0.0008697688844422,0.7089682886443586,-0.21779894545736,5.568820381453993,0.6411383934818699,0.0,1.0,4.727123755960401e-06,-0.2161772793291145,-15.677013303693393,7.75059754937495e-08,0.5705965425584738,0.0001555229939238,0.0068347183098591,-23.347347373639074,0.6826972276612218,0.3428718437182523,-0.1583192266558518,0.5657720437992612,0.6121061740175621,0.6945966701765858,26.0,-19.83379465352388,0.0,0.099471079468948,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---14,0.5914754187626846,0.0,-0.2089332222827825,0.0,0.0008838379189594,0.7931257437039261,-0.2469553969083328,5.035459222160466,0.7176360266575574,0.0,1.0,5.444796350868976e-06,-0.2198015279065301,-13.185871381316906,9.523284536351342e-08,0.6028814411897746,0.0001807658577823,0.005275,-23.630988951408604,0.7625201992948395,0.3625110732347806,-0.1948409381836078,0.6142912463794369,0.657374070774723,0.7777225134787552,26.0,-17.834524606881107,1.0,0.0994338080878381,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---16,0.5942030758521011,0.0,-0.1961130932144459,0.0,0.0008694567283641,0.7420761282945674,-0.2259333886234386,6.40564468768,0.7025329401626962,0.0,1.0,5.160052028101312e-06,-0.2194742058880804,-13.11752637814518,7.360388709799815e-08,0.5794546911781228,0.0001720320335689,0.0065858253968253,-23.95398770994168,0.7257454966387237,0.3536014090477839,-0.189702478233023,0.5752018520195327,0.6590008162144143,0.7311034768535263,26.0,-16.234755014610887,0.0,0.0994678329379497,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---18,0.5751939829225241,0.0,-0.2125902058787025,0.0,0.000926300150075,0.7399101605307974,-0.2659638184996929,6.884628238325337,0.7219760987543027,0.0,1.0,5.254160898586083e-06,-0.171017698169365,-12.401684692162409,4.3635522498374884e-08,0.5111917977111107,0.0001754314686131,0.0222621764705882,-17.873538648625683,0.7254939604779975,0.3448622584952335,-0.215651195302974,0.5000202700769353,0.7163167479578215,0.7390060171426747,26.0,-15.273027289590985,0.0,0.0994940015548108,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---9,0.5751939829225241,0.0,-0.2125902058787025,0.0,0.000926300150075,0.7399101605307974,-0.2659638184996929,6.884628238325337,0.7219760987543027,0.0,1.0,5.254160898586083e-06,-0.171017698169365,-12.401684692162409,4.3635522498374884e-08,0.5111917977111107,0.0001754314686131,0.0222621764705882,-17.873538648625683,0.7254939604779975,0.3448622584952335,-0.215651195302974,0.5000202700769353,0.7163167479578215,0.7390060171426747,26.0,-15.273027289590985,0.0,0.0994940015548108,1.0
warmup_results_0_8_linux3_e3_1240___Graal-default-java.json#binarytrees---19,0.619505739006807,0.0,-0.2090181030239772,0.0,0.0009146918459229,0.7960910273258258,-0.2305657006658198,5.930763187123975,0.7477097451848582,0.0,1.0,5.6871126709697415e-06,-0.2499706387200742,-12.415473819459914,3.899470152574744e-08,0.6254905420020775,0.0001865822665416,0.0153059583333333,-24.813642188211546,0.7690548003049829,0.3721579559840904,-0.2092332591442139,0.627392622718096,0.7643742396118375,0.790328468547561,26.0,-16.58560196621905,0.0,0.0994181542396137,1.0
