id,y__percentage_of_reoccurring_values_to_all_values,y__ratio_value_number_to_time_series_length,y__partial_autocorrelation__lag_3,y__ar_coefficient__coeff_9__k_10,y__percentage_of_reoccurring_datapoints_to_all_datapoints,y__longest_strike_above_mean,"y__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",y__partial_autocorrelation__lag_9,y__mean_second_derivative_central,y__range_count__max_1__min_-1,"y__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",y__sum_of_reoccurring_values,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","y__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",y__absolute_maximum,y__maximum,"y__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",y__lempel_ziv_complexity__bins_100,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",y__lempel_ziv_complexity__bins_5,y__quantile__q_0.6,y__quantile__q_0.9,y__median,y__quantile__q_0.7,y__quantile__q_0.8,y__lempel_ziv_complexity__bins_10,y__ratio_beyond_r_sigma__r_1,"y__fft_coefficient__attr_""real""__coeff_0","y__fft_coefficient__attr_""abs""__coeff_0",y__mean
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---21,0.5194274028629857,0.489,0.0404039828418285,0.0257222426212013,0.765,9.0,0.0023238065863332,0.0286702253994944,1.1656656656656783e-06,2000.0,-1.2984306607391232e-09,154.392161,4.3390775021745473e-07,0.166874576143978,0.315777,0.315777,4.82360041735777e-10,0.3295,0.3066627780487805,0.0345,0.3039874,0.3044672,0.3039185,0.3040713,0.3042022,0.0905,0.137,608.004692,608.004692,0.304002346
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---12,0.5187165775401069,0.4675,-0.0254866283749198,-0.0615806710556902,0.775,8.0,0.002286830090545,-0.0566211163439776,1.071821821821831e-06,2000.0,5.6904916730728406e-11,147.463298,1.1946035431221986e-07,0.1674375292370368,0.308703,0.308703,9.14097295794028e-11,0.4,0.3055811341463414,0.114,0.304084,0.304618,0.304022,0.304167,0.3043022,0.1925,0.187,608.23942,608.23942,0.30411971
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---27,0.5187165775401069,0.4675,-0.0254866283749198,-0.0615806710556902,0.775,8.0,0.002286830090545,-0.0566211163439776,1.071821821821831e-06,2000.0,5.6904916730728406e-11,147.463298,1.1946035431221986e-07,0.1674375292370368,0.308703,0.308703,9.14097295794028e-11,0.4,0.3055811341463414,0.114,0.304084,0.304618,0.304022,0.304167,0.3043022,0.1925,0.187,608.23942,608.23942,0.30411971
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---13,0.5,0.498,-0.014719925266998,0.0701695151035347,0.751,8.0,0.0025643383762694,0.0679007743617894,7.860360360360511e-07,2000.0,-4.6484895528097687e-11,151.35542600000002,1.4929892485785565e-07,0.1675382319259976,0.308586,0.308586,9.981298254534427e-11,0.407,0.3054763536585366,0.1185,0.3039664,0.3045452999999999,0.303895,0.304072,0.304232,0.202,0.1995,608.0029380000001,608.0029380000001,0.3040014689999999
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---15,0.5,0.498,-0.014719925266998,0.0701695151035347,0.751,8.0,0.0025643383762694,0.0679007743617894,7.860360360360511e-07,2000.0,-4.6484895528097687e-11,151.35542600000002,1.4929892485785565e-07,0.1675382319259976,0.308586,0.308586,9.981298254534427e-11,0.407,0.3054763536585366,0.1185,0.3039664,0.3045452999999999,0.303895,0.304072,0.304232,0.202,0.1995,608.0029380000001,608.0029380000001,0.3040014689999999
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---14,0.5466520307354555,0.4555,0.0424621171322979,0.0352573011140737,0.7935,10.0,0.0025773719319388,0.0413814921135302,9.772272272272392e-07,2000.0,-3.1004312432602674e-09,151.354092,9.307261866304228e-07,0.1676078468072354,0.32548,0.32548,1.7738238725728759e-09,0.2675,0.3068976548780487,0.033,0.303963,0.3044292,0.303897,0.304041,0.30417,0.034,0.0535,607.990078,607.990078,0.303995039
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---19,0.5466520307354555,0.4555,0.0424621171322979,0.0352573011140737,0.7935,10.0,0.0025773719319388,0.0413814921135302,9.772272272272392e-07,2000.0,-3.1004312432602674e-09,151.354092,9.307261866304228e-07,0.1676078468072354,0.32548,0.32548,1.7738238725728759e-09,0.2675,0.3068976548780487,0.033,0.303963,0.3044292,0.303897,0.304041,0.30417,0.034,0.0535,607.990078,607.990078,0.303995039
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---16,0.5309548793284365,0.4765,0.0311305481834388,0.0005294413096503,0.7765,37.0,0.0022476938942817,-0.0003111902956107,1.0978478478478414e-06,2000.0,-1.1973205675285666e-10,153.807904,1.2860690072219468e-07,0.1669224964456419,0.30828,0.30828,7.348630621658801e-11,0.4095,0.3054356902439024,0.123,0.304026,0.3045301,0.303958,0.304107,0.304232,0.1895,0.2275,608.0676619999999,608.0676619999999,0.304033831
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---7,0.5309548793284365,0.4765,0.0311305481834388,0.0005294413096503,0.7765,37.0,0.0022476938942817,-0.0003111902956107,1.0978478478478414e-06,2000.0,-1.1973205675285666e-10,153.807904,1.2860690072219468e-07,0.1669224964456419,0.30828,0.30828,7.348630621658801e-11,0.4095,0.3054356902439024,0.123,0.304026,0.3045301,0.303958,0.304107,0.304232,0.1895,0.2275,608.0676619999999,608.0676619999999,0.304033831
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---18,0.5030120481927711,0.498,0.0101112003892571,0.0654192000956676,0.7525,10.0,0.0025212731070583,0.0663112287527751,8.433433433433533e-07,2000.0,-2.1278209008306278e-10,152.283602,1.7467214457157056e-07,0.1675775031236246,0.308402,0.308402,7.965289700881661e-11,0.413,0.3057031451219512,0.129,0.304006,0.304536,0.3039294999999999,0.304112,0.304268,0.201,0.205,608.042615,608.042615,0.3040213075
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---25,0.5030120481927711,0.498,0.0101112003892571,0.0654192000956676,0.7525,10.0,0.0025212731070583,0.0663112287527751,8.433433433433533e-07,2000.0,-2.1278209008306278e-10,152.283602,1.7467214457157056e-07,0.1675775031236246,0.308402,0.308402,7.965289700881661e-11,0.413,0.3057031451219512,0.129,0.304006,0.304536,0.3039294999999999,0.304112,0.304268,0.201,0.205,608.042615,608.042615,0.3040213075
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---2,0.5489548954895489,0.4545,0.1392388913705712,-0.0302482426287902,0.795,9.0,0.0023927391262105,-0.0261871457437296,1.0910910910910988e-06,2000.0,-1.8056009099956798e-09,151.660781,5.750323787441377e-07,0.1670183859093912,0.323947,0.323947,1.023152373385087e-09,0.2695,0.3068539390243902,0.034,0.303987,0.3043602,0.303925,0.3040583,0.304156,0.0345,0.062,607.997145,607.997145,0.3039985725
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---20,0.5418454935622318,0.466,0.097367508130743,0.0360582287450269,0.7865,16.0,0.0025276055758226,0.0369756631604958,1.2540040040040148e-06,2000.0,-5.149812372752324e-10,153.490428,2.0814614863640896e-07,0.1672402824433771,0.311029,0.311029,1.8751690288368958e-10,0.3685,0.305725319512195,0.061,0.303997,0.3043811,0.303928,0.3040813,0.3041902,0.165,0.177,607.9739179999999,607.9739179999999,0.303986959
warmup_results_0_8_linux3_e3_1240___V8-default-javascript.json#fannkuch_redux---22,0.5192507804370448,0.4805,0.0777976689363134,0.0317666809854433,0.769,19.0,0.0029055182521625,0.0295469402912203,1.1866866866866928e-06,2000.0,-7.010209997487494e-10,151.706857,3.012667116498757e-07,0.1679937094845789,0.311151,0.311151,2.202397869475079e-10,0.375,0.3059897536585366,0.0715,0.304073,0.3045902,0.3040104999999999,0.3041676,0.3042902,0.177,0.1495,608.1982200000001,608.1982200000001,0.30409911
